menu_item_id,restaurant_id,name,description,price
245,7,Honey Mustard Dressing,With a touch of clover honey and tangy mustard,0.0
246,7,Balsamic Vinaigrette Dressing,Balsamic Vinaigrette Dressing,0.0
247,7,Extra Virgin Olive Oil,Extra Virgin Olive Oil,0.0
248,7,Balsamic Vinegar,Balsamic Vinegar,0.0
249,7,Marinated Tofu,Extra Firm Tofu Marinated with Sesame Ginger Vinaigrette,0.0
250,7,Chicken in Marinade,Simple marinade adds moisture to chicken before stir frying,0.0
251,7,Pork in Marinade,"Pork in Marinade

Simple marinade adds moisture to pork before stir frying",0.0
252,7,Blanched Broccoli,Blanched Broccoli,0.0
253,7,Sliced Mushrooms,Sliced Mushrooms,0.0
254,7,Sliced Green Bell Pepper,Sliced Green Bell Pepper,0.0
255,7,Edamame,Edamame,0.0
256,7,Sliced Bok Choy,Sliced Bok Choy,0.0
257,7,Grated Ginger Root,Grated Ginger Root,0.0
258,7,Fresh Chopped Garlic,Fresh Chopped Garlic,0.0
259,7,Furikake,Furikake,0.0
260,7,Sriracha Hot Chili Sauce,Sriracha Hot Chili Sauce,0.0
261,7,Sambal Oelek Chili Sauce,,0.0
262,7,Udon Noodles,Udon Noodles,0.0
263,7,Jasmine Rice,Jasmine Rice,0.0
264,7,BBQ Pulled Pork,Pulled Pork Seasoned with a bbq spice rub,0.0
265,7,Lentils with Sweet Potato and Spinach,Lentils with Sweet Potato and Spinach,0.0
266,7,Cheddar Grits,Cheesy Grites,0.0
267,7,Honey Lemon Carrots,"Fresh Steamed Carrots Tossed with Butter, Honey & Fresh Lemon",0.0
268,7,Sauteed Spiced Zucchini,Lightly sauteed and steamed with a hint of nutmeg,0.0
269,7,Lemon Pepper Rotisserie Chicken,A simple combination of lemon zest and black pepper,0.0
270,7,Fried Fish,Fried Fish,0.0
271,7,Broccoli Tofu Stir Fry,"Broccoli, carrots, red onion and tofu stir fry with teriyaki glaze",0.0
272,7,Beef Patty,Beef Patty,0.0
273,7,Wheat Hamburger Bun,Wheat Hamburger Bun,0.0
274,7,"Hot Dog
","Hot Dog
",0.0
275,7,Grilled Chicken,"Boneless chicken breast, grilled to perfection.",0.0
276,7,Sliced Tomatoes,Sliced Tomatoes,0.0
277,7,Omelet Bar,Omelet Bar,0.0
278,7,Eggs,Eggs,0.0
279,7,Egg Whites,Egg Whites,0.0
280,7,Chopped Spinach,Chopped Spinach,0.0
281,7,Chopped Broccoli,Chopped Broccoli,0.0
282,7,Chopped Tomatoes,Chopped Tomatoes,0.0
283,7,Chopped Tomatoes,Chopped Tomatoes,0.0
284,7,Sliced Mushrooms,Sliced Mushrooms,0.0
285,7,Chopped Green Bell Pepper,Chopped Green Bell Pepper,0.0
286,7,Shredded Sharp Cheddar Cheese,Shredded Sharp Cheddar Cheese,0.0
287,7,Crumbled Feta Cheese,Crumbled Feta Cheese,0.0
288,7,Diced Ham,Diced Ham,0.0
289,7,Pork Sausage Link,Pork Sausage Link,0.0
290,7,Diced Bacon,Diced Bacon,0.0
291,7,Sausage and Escarole Soup,"Italian sausage, escarole, tomato and fresh herbs simmered in a chicken broth",0.0
292,7,Tuscan Tomato Soup with Tortellini,"Tomato, spinach, vegetables, tortellini, and fresh herbs",0.0
293,7,Dinner Roll,Dinner Roll,0.0
294,7,Roasted Pork Cuban Sandwich,Roasted Pork Cuban Sandwich,0.0
295,7,Sauteed Mushrooms,Sauteed button mushrooms with garlic,0.0
296,7,Yellow Squash with Red Pepper,Lightly sauteed and seasoned,0.0
297,7,Grilled Vegetables,Grilled Vegetables,0.0
298,7,Whole Wheat Kaiser Bun,Whole Wheat Kaiser Bun,0.0
299,7,Multigrain Bread,Multigrain Bread,0.0
300,7,Whole Wheat Bread,Whole Wheat Bread,0.0
301,7,White Bread,White Bread,0.0
302,7,"10"" Flour Tortilla","10"" Flour Tortilla",0.0
303,7,"10"" Whole Wheat Flour Tortilla","10"" Whole Wheat Flour Tortilla",0.0
304,7,Thinly Sliced Deli Turkey Breast,Thinly Sliced Deli Turkey Breast,0.0
305,7,Thinly Sliced Smoked Ham,Thinly Sliced Smoked Ham,0.0
306,7,Sliced Genoa Salami,Sliced Genoa Salami,0.0
307,7,American Cheese Slice,American Cheese Slice,0.0
308,7,Cheddar Cheese Slice,Cheddar Cheese Slice,0.0
309,7,Sliced American Swiss Cheese,Sliced American Swiss Cheese,0.0
310,7,House Fried Potato Chips,House Fried Potato Chips,0.0
311,7,Italian Hero,"Italian meats and cheese on a baguette with tomatoes, peppers, basil and balsamic vinegar",0.0
312,7,Cheese Pizza,Traditional pizza with just pizza sauce and mozzarella cheese,0.0
313,7,Carmelized Onion Zucchini Pizza,Carmelized Onion Zucchini Pizza,0.0
314,7,White Pizza,White Pizza,0.0
315,7,Crushed Red Pepper,Crushed Red Pepper,0.0
316,7,Dried Oregano,Dried Oregano,0.0
317,7,Grated Parmesan Cheese,Grated Parmesan Cheese,0.0
318,7,Pepperoni Pizza,Crispy Pepperoni Pizza,0.0
319,7,Vegetable Calzone,Vegetable Calzone,0.0
320,7,Bolognese Sauce with Mushrooms,"Beef, pork and mushroom tomato sauce",0.0
321,7,Avoiding Gluten Barilla Penne,Simply cooked penne,0.0
322,7,Roasted Vegetable Medley,Roasted Vegetable Medley,0.0
323,7,Double Chocolate Chip Cookie,Double Chocolate Chip Cookie,0.0
324,7,Peanut Butter Cheerio Bar,Peanut Butter Cheerio Bar,0.0
325,7,Pineapple Coconut Cinnamon Roll,"Delicious twist on pineapple upside down made with cinnamon roll, topped with coconut",0.0
326,7,"Cheesecake, Vanilla Sauce and Coconut",Cheesecake with Coconut and Vanilla Sauce,0.0
327,7,Grilled Herbed Chicken,Seasoned with fresh basil and oregano,0.0
328,7,Sweet and Sour Pork,Cantonese Style Sweet and Sour Pork,0.0
329,7,Kung Pao Breaded Cauliflower,Breaded cauliflower fried and tossed in Kung Pao sauce,0.0
330,7,Ginger Garlic Green Beans,Simple green beans with a touch of garlic and ginger,0.0
331,7,Edamame and Onions,Edamame and Onions,0.0
332,7,Vegetable Spring Roll,Vegetable Spring Roll,0.0
333,7,Char Grilled Teriyaki Chicken,Marinated in soy sauce and teriyaki glaze,0.0
334,7,Thai Tofu,"seared tofu marinated in basil with cilantro, ginger, mint, garlic, lime and chili",0.0
335,7,Sesame Ginger Fish,Cooked in a light sesame glaze,0.0
336,7,Stir Fry,Stir Fry,0.0
337,7,Thai Basil Shrimp Stir Fry,"Shrimp stir fried with peppers, tomatoes and Thai basil.",0.0
338,7,Orange Beef and Broccoli Stir Fry,Orange Beef and Broccoli Stir Fry,0.0
339,7,Rice Noodles,Rice Noodles,0.0
340,7,Vegetable Fried Rice,"Vegetable Fried rice with eggs, edamame, and hoisin sauce",0.0
341,7,Sausage and Escarole Soup,"Italian sausage, escarole, tomato and fresh herbs simmered in a chicken broth",0.0
342,7,Tuscan Tomato Soup with Tortellini,"Tomato, spinach, vegetables, tortellini, and fresh herbs",0.0
343,7,Dinner Roll,Dinner Roll,0.0
344,7,Hot Diggity Dog! Frito Pie Dog,Hot Diggity Dog! Frito Pie Dog,0.0
345,7,Sauteed Mushrooms,Sauteed button mushrooms with garlic,0.0
346,7,Yellow Squash with Red Pepper,Lightly sauteed and seasoned,0.0
347,7,"Buffalo Wings
","Buffalo Wings
",0.0
348,7,Pancakes,Pancakes,0.0
349,7,Sausage Link,Sausage Link,0.0
350,7,Tater Tots,Oven Baked Tater Tots,0.0
351,7,French Toast Sticks,Served with maple flavored syrup,0.0
352,7,Chocolate Milkshake,Chocolate Milkshake,0.0
353,7,Cookies and Cream Milkshake,Cookies and Cream Milkshake,0.0
354,7,Vanilla Milkshake,Vanilla Milkshake,0.0
355,7,Mini Raspberry Crown Danish,Mini Raspberry Crown Danish,0.0
356,7,Lemon Poppy Seed Quick Bread,Fresh Baked Lemon Poppy Seed Quick Bread,0.0
357,7,Tofu Mushroom Scramble,Tofu Mushroom Scramble,0.0
358,7,Biscuits and Sausage Gravy,Biscuits and Sausage Gravy,0.0
359,7,Turkey Bacon,Turkey Bacon,0.0
360,7,Fried Hash Brown Patty,Fried Hash Brown Patty,0.0
361,7,Roasted Mushroom Mix,Roasted Mushroom Mix,0.0
362,7,Mixed Berry Chia Oatmeal,"Oatmeal with fresh strawberries, raspberries, blackberries, blueberries and chia seeds",0.0
363,7,Meatless Vegetarian Sausage Patty,Meatless Vegetarian Sausage Patty,0.0
